,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
37,2001-09-30,1664945725,1664945725,1,74700000000,6052000000,37502000000,9685000000,37198000000,0,0,34791000000,20436000000,4766000000,-142000000,-142000000,-0.09,-0.09,0.0,1049000000,-2357000000,1217000000,-91000000,425000000,2232000000,11.1,14.93,7.27,-0.0823,-0.0432,22.34,0.5,None,2.94,None,0.5494,0.498,None,0.3,-0.71,0.6249,Q
38,2001-06-30,1663721480,1663721480,1,73906000000,6417000000,36620000000,11940000000,37286000000,0,0,34688000000,17575000000,5222000000,-3306000000,-3306000000,-1.99,-1.99,0.05,974000000,-2446000000,1682000000,210000000,516000000,2616000000,15.2,18.9,11.51,-0.0828,-0.045,22.41,0.62,None,2.94,None,0.4714,0.5045,None,0.3,-0.99,0.5374,Q
39,2001-03-31,1661255368,1661255368,1,75774000000,5766000000,35118000000,10354000000,40656000000,0,0,32224000000,17676000000,5051000000,-46000000,-46000000,-0.03,-0.03,0.0,1333000000,-3022000000,1841000000,152000000,306000000,2943000000,23.82,31.15,16.5,-0.0034,-0.0019,24.47,0.95,None,2.89,None,0.4348,0.5365,None,0.28,-0.97,0.5569,Q
40,2000-12-31,1649490762,1649490762,1,73501000000,5376000000,32197000000,9893000000,41304000000,0,0,32327000000,15421000000,7178200000,275400000,275400000,0.17,0.17,0.0,877000000,-1739000000,599000000,-263000000,154000000,1591000000,41.91,51.44,32.38,-0.0025,-0.0014,25.04,1.68,127,2.89,None,0.3734,0.562,None,0.29,-0.43,0.5434,Q
41,2000-09-30,1656097575,1656097575,1,72088000000,5746000000,30796000000,9100000000,41292000000,0,0,39748000000,15560000000,4765000000,-248000000,-248000000,-0.15,-0.15,0.0,1005000000,-1694000000,206000000,-483000000,417000000,2304000000,50.69,57.88,43.5,0.0033,0.002,24.93,2.03,107.85,2.89,9.9596,0.3768,0.5728,0.0076,0.26,-0.78,0.6314,Q
42,2000-06-30,1660818053,1660818053,1,69848000000,5804000000,28458000000,9711000000,41390000000,0,0,29016000000,13429000000,3450000000,-121000000,-121000000,-0.14,-0.14,0.0,1776100000,-435800000,-209700000,1130600000,900000000,1791400000,78.5,91.0,66.0,0.0211,0.0127,24.92,8.37,124.6,2.89,3.6809,0.3245,0.5926,0.0478,0.27,-0.01,0.5977,Q
43,2000-03-31,754500000,754500000,1,11975200000,1756300000,4851000000,1963500000,7075000000,49200000,0,3263000000,2390700000,1216800000,12600000,12600000,0.02,0.02,0.535,22900000,-925200000,593700000,-308600000,40600000,910600000,72.06,79.0,65.13,0.0691,0.0432,9.38,7.75,117.17,2.89,3.7791,0.3379,0.5908,0.1093,0.4,-1.18,0.8945,Q
44,1999-12-31,753000000,753000000,1,11058100000,1785200000,4001600000,1238400000,7001300000,55200000,0,3290100000,2368300000,1157400000,437000000,437000000,0.59,0.6,0.53,171900000,-714800000,32200000,-510700000,349200000,712900000,65.0,73.0,57.0,0.0754,0.0468,9.3,7.53,None,2.35,3.7845,0.3383,0.6331,0.1167,0.4,-0.72,1.4415,Q
45,1999-09-30,748000000,748000000,1,10147200000,1908900000,3634200000,955500000,6456900000,56100000,0,3282000000,2352000000,1018100000,-1800000,-1800000,-0.01,-0.01,0.535,-100800000,-509800000,33100000,-577500000,859900000,423000000,56.0,60.25,51.75,-0,-0,8.63,6.46,None,1.82,None,0.3643,0.6363,None,0.4,-0.7,1.9978,Q
46,1999-06-30,745700000,745700000,1,9999700000,2341100000,3477000000,943400000,6464200000,58500000,0,3308700000,2336200000,873700000,18500000,18500000,0.03,0.02,0.75,-29700000,-598300000,1946400000,1318400000,1437400000,464500000,56.91,62.25,51.56,-0.0011,-0.0006,8.67,9.11,None,1.29,None,0.3614,0.6464,None,0.42,-0.66,2.4816,Q
47,1999-03-31,352000000,704000000,2,8009200000,1096800000,3608300000,1005300000,4400900000,0,0,3394900000,2319900000,878400000,4800000,4800000,0.01,0.01,1.07,-79600000,-315100000,50900000,-343800000,119000000,299800000,59.47,65.63,53.31,-0.2073,-0.113,6.25,9.83,None,0.54,None,0.5271,0.5495,None,0.4,-0.54,1.091,Q
48,1998-12-31,350000000,700000000,2,8067600000,1439100000,3829400000,1237500000,4238200000,0,0,3973100000,2307100000,865153000,-21551000,-21551000,-0.06,-0.06,0.0,-61800000,-660400000,959600000,237400000,462800000,662200000,19.52,25.66,13.38,-0.2797,-0.1453,6.05,3.49,None,0.0,None,0.5444,0.5253,None,0.39,-1.03,1.1629,Q
49,1998-09-30,335600000,671200000,2,6834000000,1130300000,3082000000,1179800000,3752000000,0,0,3203700000,1387100000,806800000,-6900000,-6900000,-0.02,-0.02,0.0,5500000,-342600000,196500000,-140600000,225400000,337600000,17.38,23.75,11.0,None,None,5.59,3.14,None,0.0,None,0.3697,0.549,None,None,-0.49,0.958,Q
50,1998-06-30,331100000,662200000,2,6548800000,1043400000,2877600000,1027700000,3671200000,0,0,3315200000,1365300000,393700000,-808900000,-808900000,-3.34,-3.34,0.0,47260000,-294156000,39719000,-207177000,366000000,274002000,16.98,20.03,13.94,None,None,5.54,17.33,None,0.0,None,0.3719,0.5606,None,None,-0.34,1.0153,Q
51,1998-03-31,207692503,415385006,2,1779568000,912324000,1372406000,343471000,407162000,0,0,0,959270000,177047000,-6649000,-6649000,-0.03,-0.03,0.0,53540000,-141644000,281481000,193377000,573161000,139398000,17.67,20.53,14.81,None,None,0.98,19.21,None,0.0,None,2.356,0.2288,None,None,-0.21,2.6562,Q
52,1997-12-31,206677742,413355484,2,1398105000,723942000,1016361000,315422000,381744000,0,0,0,630463000,None,None,None,None,None,0.0,23584000,-160520000,329989000,193053000,379784000,122120000,14.34,17.22,11.47,None,None,0.92,16.11,None,0.0,None,1.6515,0.273,None,None,-0.24,2.2952,Q
53,1997-09-30,103320766,413283064,4,908478000,438435000,539627000,217374000,368851000,0,0,0,268946000,188955000,12651000,12651000,0.12,None,0.0,-60967000,-75949000,9280000,-127636000,186731000,22511000,10.04,13.25,6.82,None,None,0.89,12.87,None,0.0,None,0.7291,0.406,None,None,-0.2,2.017,Q
54,1997-06-30,103320766,413283064,4,790091000,449759000,468828000,155745000,321263000,0,0,0,250988000,228673000,-5612000,-5612000,-0.06,None,0.0,None,None,None,None,314367000,0,7.06,7.53,6.59,None,None,0.78,None,None,0.0,None,0.7813,0.4066,None,None,None,2.8878,Q
