,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,ticker
22,2013-09-29,227893735,227893735,1,6892173000,1681815000,4151902000,916013000,2496880000,243391000,0,3337549000,1980190000,1252890000,79748000,79748000,0.35,0.34,0.2,125017000,9000000,514723000,649870000,811367000,23770000,25.37,26.67,24.06,0.1655,0.0624,10.96,2.36,13.21,16.33,0.4566,0.7931,0.3623,0.0755,0.83,0.44,1.8359999999999999,TGNA
23,2013-06-30,229139789,229139789,1,6205206000,993853000,3517328000,880343000,2464904000,222974000,0,3348610000,1357501000,1302699000,113620000,113620000,0.5,0.48,0.2,187658000,-27129000,-141290000,18664000,161497000,32801000,23.23,26.6,19.85,0.1886,0.0716,10.76,2.23,11.91,16.13,0.4038,0.5507,0.3972,0.0846,0.85,0.68,1.1289,TGNA
24,2013-03-31,228886158,228886158,1,6227409000,1005557000,3634007000,862192000,2382243000,211159000,0,3331922000,1449226000,1237735000,104565000,104565000,0.46,0.44,0.2,36283000,-6331000,-61569000,-32197000,142833000,16097000,20.04,22.07,18.01,0.1931,0.0719,10.41,1.96,11.2,15.93,0.3993,0.6083,0.3825,0.0857,0.84,0.09,1.1663,TGNA
25,2012-12-30,229626485,229626485,1,6379886000,1072720000,3829320000,934516000,2350614000,199952000,0,3346782000,1432100000,1518309000,103085000,103085000,0.45,0.44,0.2,258004000,-12399000,-308440000,-62415000,175030000,28864000,17.8,18.97,16.63,0.1787,0.0655,10.24,1.68,9.62,15.73,0.4364,0.6092,0.3684,0.0793,0.83,1,1.1479,TGNA
26,2012-09-23,229787136,229787136,1,6561363000,1096202000,3886602000,971203000,2440605000,234156000,0,3443203000,1634833000,1309261000,133083000,133083000,0.58,0.56,0.2,182154000,-40983000,-107464000,35356000,237445000,24658000,15.97,18.75,13.2,0.185,0.067,10.62,1.56,9.39,15.53,0.361,0.6698,0.37200000000000005,0.0839,0.8,0.69,1.1287,TGNA
27,2012-06-24,231421058,231421058,1,6463191000,1046548000,3890574000,917854000,2366164000,206453000,0,3371164000,1662782000,1307040000,119889000,119889000,0.51,0.51,0.2,154495000,-11898000,-97587000,44610000,202089000,20187000,14.04,15.74,12.33,0.1703,0.062,10.22,1.41,7.76,15.33,0.3243,0.7027,0.3661,0.0782,0.79,0.58,1.1402,TGNA
28,2012-03-25,234955956,234955956,1,6498255000,1003321000,3967437000,951036000,2337286000,193532000,0,3374864000,1665329000,1218587000,68223000,68223000,0.29,0.28,0.2,162087000,-21701000,-150229000,-9447000,157479000,18165000,14.48,15.61,13.36,0.1824,0.0665,9.95,1.47,7.62,15.13,0.2168,0.7125,0.3597,0.0838,0.79,0.61,1.055,TGNA
29,2011-12-25,236934167,236934167,1,6616450000,1075545000,4104425000,901937000,2327891000,184134000,0,3367080000,1760363000,1387755000,116940000,116940000,0.49,0.5,0.08,210976000,-14327000,-225880000,-29064000,166926000,26072000,11.37,13.57,9.16,0.1928,0.0694,9.83,1.09,5.39,14.93,0.1248,0.7562,0.3518,0.0875,0.79,0.78,1.1925,TGNA
30,2011-09-25,238288133,238288133,1,6544729000,1056274000,3863822000,873536000,2478969000,201938000,0,3368979000,1918424000,1266034000,99788000,99788000,0.42,0.41,0.08,188352000,-14730000,-142482000,30649000,195990000,17128000,11.57,14.6,8.55,0.2207,0.0775,10.4,1.15,5.46,14.85,0.0928,0.7739,0.3788,0.0975,0.79,0.72,1.2092,TGNA
31,2011-06-26,240794072,240794072,1,6607021000,1014756000,3984913000,855315000,2429126000,192982000,0,3383827000,2021587000,1334939000,151527000,151527000,0.63,0.62,0.04,190726000,10146000,-177826000,23124000,165341000,16623000,14.47,15.64,13.3,0.2327,0.0768,10.09,1.52,6.26,14.77,0.0742,0.8322,0.3677,0.097,0.79,0.72,1.1864,TGNA
32,2011-03-27,240432276,240432276,1,6666689000,1003873000,4205274000,860881000,2280855000,180560000,0,3373094000,2188129000,1251261000,90493000,90493000,0.38,0.37,0.04,224082000,-6008000,-259309000,-40797000,142217000,12628000,15.84,17.19,14.49,0.2685,0.0826,9.49,1.75,6.52,14.73,0.0682,0.9593,0.3421,0.1046,0.79,0.88,1.1661,TGNA
33,2010-12-26,239686303,239686303,1,6816844000,1139134000,4398595000,893186000,2163754000,254495000,0,3355757000,2352242000,1438795000,174135000,174135000,0.73,0.71,0.04,89201000,-1619000,-76702000,10582000,183014000,32197000,13.77,15.78,11.76,0.3021,0.0856,9.03,1.63,6.04,14.69,0.065,1.0871,0.3174,0.1082,0.79,0.24,1.2754,TGNA
